,track_id,name,artist,genre
0,1,Float On,Modest Mouse,Rock
1,2,Hey There Delilah,Plain White T's,Rock
2,3,Revelry,Kings of Leon,Rock
3,4,Fade to Black,Metallica,Metal
4,5,The Unforgiven II,Metallica,Metal
5,6,Until It Sleeps,Metallica,Metal
6,7,The Unforgiven III,Metallica,Metal
7,8,Heartbreak Warfare,John Mayer,Rock
8,9,Alejandro,Lady Gaga,Pop
9,10,Technologic,Daft Punk,Electronic
10,11,DVNO,Justice,Electronic
11,12,Imma Be,Black Eyed Peas,Rap
12,13,One Minute to Midnight,Justice,Electronic
13,14,Fancy Footwork,Chromeo,Electronic
14,15,Up Up & Away,Kid Cudi,Rap
15,16,Never Let You Go,Third Eye Blind,Pop
16,17,Hips Don't Lie,Shakira,Pop
17,18,Hailie's Song,Eminem,Rap
18,19,Waking the Demon,Bullet for My Valentine,Metal
19,20,It Was A Good Day,Ice Cube,Rap
20,21,My Name Is,Eminem,Rap
21,22,U Smile,Justin Bieber,Pop
22,23,The Big Gundown,The Prodigy,Electronic
23,24,Bring Me To Life,Katherine Jenkins,Rock
24,25,Party In The U.S.A.,The Barden Bellas,Pop
